source_kind,source_name,target,variant,layout,image_position,notes
slice,slices.issues-header,sections.three-column-grid,bordered,,,"itemStyle=bordered. Each issue → elements.how-it-works-item (title=issue.title, description=issue.description). section field REQUIRED — fall back to slice intro/title, then default {title: 'Issues'} if empty."
slice,slices.intro,conditional,,,,"Position-dependent. If first slices[] entry AND no useCaseHero on the record → sections.hero. Otherwise → sections.section-header (no background, layout=center)."
slice,slices.large-features-slice,sections.two-column-grid,,,,"Single component. Grid's required section field carries the intro/title. Items = elements.how-it-works-item per feature (title + description). Same pattern as top-features."
slice,slices.large-video,media.video,,center,,"alignment=center. SKIP if url missing."
slice,slices.new-intro,sections.section-header,,,,Heading-only block.
slice,slices.news-list,sections.news-list,,,,"Auto-fetched chronological list — target component has NO attributes. Emit `{ __component: 'sections.news-list' }` with no fields. Always succeeds; never SKIP."
slice,slices.newsletter-banner,forms.newsletter,,,,"Limited migration: only the hubspotForm relation. Frontend renders fixed copy. SKIP if no resolvable hubspot-form on target."
slice,slices.quote,testimonials.quote,boxed,,,Standard quote treatment.
slice,slices.reviews-slider,sections.reviews,,,,"title REQUIRED (fall back to slice.title or 'What customers say'). subTitle from slice.label. description from slice.text/description. reviews relation: attempt to resolve old `reviews.data[]` against target `api::review.review` by author name match; on no match, leave relation empty and report under `manual_followup` so reviews can be hand-linked later."
slice,slices.related-case-studies,SKIP,,,,"Frontend renders related items algorithmically. Migrating creates duplicate content. Kept as SKIP."
slice,slices.section-with-image,cards.feature-card,bordered,full,flip_textPosition,"imagePosition = textPosition==='left' ? 'right' : 'left' (v4 textPosition = where text is; v5 imagePosition = where image is)."
slice,slices.side-hero-with-image,composite,bordered,full,right,sections.section-header (from intro) + cards.feature-card (variant=bordered layout=full imagePosition=right) for the hero content.
slice,slices.simple-text-next-to-image,cards.feature-card,bordered,full,left,"Single card. imagePosition=left. SKIP if no title."
slice,slices.stacking-cards,composite,,,,"sections.section-header (from title) + N standalone cards.content-card per card in cards[] (title=card.title, content=card.description as richtext). Schema constraint: feature-card-grid.items requires cards.feature-card, so we can't put content-cards in a grid wrapper; emitting them directly is allowed by the page dynamic zone."
slice,slices.text-next-to-big-image,cards.feature-card,bordered,full,right,"Single card. imagePosition=right."
slice,slices.text-next-to-image,cards.feature-card,bordered,full,flip_textPosition,"Same image-position flip as section-with-image."
slice,slices.text-slice,conditional,,,,"Three-way dispatch: has button → sections.cta-banner (section from label/title/text, ctaLinks from button); purple theme → sections.section-header (utilities.section-header.variant=purple inside); else → sections.richtext (markdown from label/title/text)."
slice,slices.text-with-cards,sections.feature-card-grid,plain,third,,"Grid with built-in section header from title/intro. Items = cards.feature-card size=sm with icon inline. SKIP if cards[] empty."
slice,slices.text-with-image-and-gradient,cards.feature-card,bordered,full,right,"Single card. ctaLinks from DownloadLink (button.link or button.download)."
slice,slices.text-with-key-numbers,SKIP,,,,"Awaiting new v5 component (no current grid can represent the {number, text} pairs cleanly). Reported in `skipped` with reason 'awaiting key-numbers component'."
slice,slices.top-features,sections.two-column-grid,,,,"Single component. Grid's required section field carries the intro (or default {title: 'Features'}). Items = elements.how-it-works-item per feature (title=feature.title, description=feature.description). feature.links/icon dropped (how-it-works-item has only icon + title + description)."
slice,slices.universal-rich-text,sections.richtext,,,,"Map richText directly. SKIP if empty."
root_field,careersHero,sections.hero,,,,"PREPEND to newContent. From careersHero.{label, title, text, button}. Include image when present (image field maps to hero's cover via existing media-upload pipeline)."
root_field,communityHero,composite,,,,"PREPEND sections.hero from communityHero.hero.{label, title, text, button}; then if communityHero.brandsWithIntro is present, also append a media.brand-logo-grid (logos uploaded from old CDN)."
root_field,featuresHero,sections.hero,,,,PREPEND. From featuresHero.{label/title/text/button} (or .hero.intro nested same as useCaseHero — verify per record)."
root_field,homeHero,sections.hero,,,,PREPEND on home universal. From homeHero.{label/title/text/button}.
root_field,useCaseHero,sections.hero,,,,"PREPEND on use-case records. From useCaseHero.hero.intro.{label, title, text, button}. Existing behavior — unchanged."
root_field,whiteHero,sections.hero,,,,PREPEND. White visual variant (background=light on hero if supported).
content_type,cms-comparison-comparator-grid,sections.comparator-grid,,,,"Comparator grid is a root-level field on cms-comparison records — handled by the cms-comparison content type's own mapping, not a slice rule."
fallback,*,migration.data-sink,,,,"If allowed in target dynamic zone; else SKIP and report."
